frame_no,quadrant,color,box
248,1,burnt_sienna,"[1089, 728, 1210, 857]"
248,4,raw_umber,"[1034, 192, 1170, 327]"
249,1,burnt_sienna,"[1091, 722, 1210, 850]"
249,4,raw_umber,"[1034, 191, 1170, 326]"
250,1,burnt_sienna,"[1092, 717, 1210, 844]"
250,4,raw_umber,"[1033, 192, 1169, 327]"
251,1,burnt_sienna,"[1092, 715, 1211, 843]"
251,4,raw_umber,"[1033, 191, 1170, 327]"
252,1,burnt_sienna,"[1091, 713, 1211, 842]"
252,4,raw_umber,"[1033, 192, 1170, 327]"
253,1,burnt_sienna,"[1090, 714, 1210, 841]"
253,4,raw_umber,"[1034, 192, 1170, 327]"
254,1,burnt_sienna,"[1085, 715, 1208, 843]"
254,4,raw_umber,"[1033, 192, 1169, 327]"
255,4,raw_umber,"[1033, 191, 1170, 327]"
256,1,dim_gray,"[1076, 720, 1204, 849]"
256,4,raw_umber,"[1033, 191, 1171, 327]"
257,1,burnt_sienna,"[1073, 725, 1201, 852]"
257,4,raw_umber,"[1033, 191, 1170, 327]"
258,1,burnt_sienna,"[1070, 729, 1199, 857]"
258,4,raw_umber,"[1034, 191, 1169, 326]"
259,1,dim_gray,"[1069, 733, 1196, 860]"
259,4,raw_umber,"[1034, 191, 1170, 326]"
260,1,burnt_sienna,"[1065, 737, 1193, 867]"
260,4,raw_umber,"[1033, 191, 1170, 326]"
261,1,burnt_sienna,"[1061, 740, 1191, 873]"
261,4,raw_umber,"[1033, 191, 1170, 326]"
262,1,burnt_sienna,"[1056, 742, 1187, 878]"
262,4,raw_umber,"[1033, 192, 1169, 327]"
263,4,raw_umber,"[1034, 191, 1170, 327]"
264,4,raw_umber,"[1034, 191, 1169, 326]"
265,1,burnt_sienna,"[1048, 750, 1171, 878]"
265,4,raw_umber,"[1034, 191, 1170, 325]"
266,1,dim_gray,"[1044, 751, 1168, 880]"
266,4,raw_umber,"[1034, 191, 1170, 325]"
267,1,raw_umber,"[1037, 752, 1164, 883]"
267,4,raw_umber,"[1033, 191, 1169, 326]"
268,4,raw_umber,"[1032, 191, 1169, 326]"
269,4,raw_umber,"[1033, 191, 1170, 327]"
270,4,raw_umber,"[1032, 191, 1170, 326]"
271,4,raw_umber,"[1033, 191, 1170, 326]"
272,4,raw_umber,"[1032, 192, 1170, 327]"
273,4,raw_umber,"[1033, 191, 1170, 327]"
274,4,raw_umber,"[1033, 191, 1169, 327]"
275,4,raw_umber,"[1033, 191, 1170, 328]"
276,1,burnt_sienna,"[1010, 746, 1143, 874]"
276,4,raw_umber,"[1032, 191, 1170, 329]"
277,1,burnt_sienna,"[1012, 746, 1144, 873]"
277,4,raw_umber,"[1033, 192, 1171, 328]"
278,3,msu_green,"[1628, 541, 1744, 645]"
278,1,burnt_sienna,"[1016, 747, 1147, 875]"
278,4,raw_umber,"[1033, 192, 1171, 327]"
279,2,msu_green,"[1602, 451, 1721, 570]"
279,1,dim_gray,"[1021, 747, 1150, 876]"
279,4,raw_umber,"[1033, 192, 1170, 328]"
280,2,msu_green,"[1579, 388, 1703, 505]"
280,4,raw_umber,"[1033, 192, 1170, 327]"
281,4,raw_umber,"[1034, 192, 1171, 327]"
281,2,msu_green,"[1562, 333, 1685, 450]"
282,4,raw_umber,"[1032, 192, 1171, 328]"
282,2,msu_green,"[1541, 289, 1668, 409]"
283,4,raw_umber,"[1033, 191, 1171, 328]"
283,2,msu_green,"[1536, 261, 1656, 374]"
284,1,burnt_sienna,"[1037, 750, 1166, 882]"
284,4,raw_umber,"[1033, 191, 1171, 327]"
284,2,msu_green,"[1527, 237, 1648, 350]"
285,1,burnt_sienna,"[1042, 752, 1168, 881]"
285,4,raw_umber,"[1033, 192, 1171, 327]"
285,2,msu_green,"[1521, 228, 1643, 340]"
286,4,raw_umber,"[1033, 192, 1170, 327]"
287,4,raw_umber,"[1033, 191, 1170, 327]"
288,4,raw_umber,"[1032, 191, 1171, 327]"
289,4,raw_umber,"[1032, 191, 1171, 327]"
290,4,raw_umber,"[1032, 191, 1171, 328]"
290,2,msu_green,"[1497, 233, 1627, 350]"
291,4,raw_umber,"[1033, 191, 1170, 328]"
292,4,raw_umber,"[1032, 192, 1170, 329]"
293,4,raw_umber,"[1032, 192, 1171, 328]"
294,1,dim_gray,"[1061, 729, 1191, 858]"
294,4,raw_umber,"[1033, 191, 1171, 329]"
295,1,dim_gray,"[1063, 722, 1191, 851]"
295,4,raw_umber,"[1033, 191, 1171, 329]"
296,1,burnt_sienna,"[1063, 716, 1192, 846]"
296,4,raw_umber,"[1032, 191, 1171, 329]"
297,4,raw_umber,"[1033, 191, 1170, 328]"
298,1,burnt_sienna,"[1067, 708, 1194, 836]"
298,4,raw_umber,"[1034, 191, 1170, 328]"
299,2,msu_green,"[1500, 229, 1609, 343]"
